20170101T19:35:30.662977000Z_213.21.33.154.s2c_ndttrace,0,0,a-->b,22336,377,382,375,375,375,22297,1,0,0
20170101T19:35:30.662977000Z_213.21.33.154.s2c_ndttrace,0,0,b-->a,10986,2,2,0,0,0,0,0,1,1
20170101T20:00:34.721040000Z_93.85.37.58.s2c_ndttrace,0,0,a-->b,2994,70,126,68,68,68,2979,1,0,0
20170101T20:00:34.721040000Z_93.85.37.58.s2c_ndttrace,0,0,b-->a,2904,2,2,0,0,0,0,0,1,1
20170101T21:09:49.290683000Z_91.203.107.219.s2c_ndttrace,0,0,a-->b,6151,272,48,270,270,270,6115,1,0,0
20170101T21:09:49.290683000Z_91.203.107.219.s2c_ndttrace,0,0,b-->a,3258,2,2,0,0,0,0,0,1,1
20170101T21:14:05.349219000Z_91.203.107.219.s2c_ndttrace,0,0,a-->b,6357,116,28,114,114,114,6331,1,0,0
20170101T21:14:05.349219000Z_91.203.107.219.s2c_ndttrace,0,0,b-->a,3447,2,2,0,0,0,0,0,1,1
20170101T21:49:18.767173000Z_2.249.107.47.s2c_ndttrace,0,0,a-->b,81907,711,72,709,709,709,81874,0,0,0
20170101T21:49:18.767173000Z_2.249.107.47.s2c_ndttrace,0,0,b-->a,32806,2,2,0,0,0,0,0,1,1
20170101T22:42:00.811212000Z_185.58.252.84.s2c_ndttrace,0,0,a-->b,46226,2,2,0,0,0,0,0,1,1
20170101T22:42:00.811212000Z_185.58.252.84.s2c_ndttrace,0,0,b-->a,46358,184,32,182,182,182,46358,1,0,0
20170101T22:51:02.573679000Z_188.249.178.124.s2c_ndttrace,0,0,a-->b,988,118,34,116,116,116,962,1,0,0
20170101T22:51:02.573679000Z_188.249.178.124.s2c_ndttrace,0,0,b-->a,517,2,2,0,0,0,0,0,1,1
20170101T22:58:50.922354000Z_93.185.20.184.s2c_ndttrace,0,0,a-->b,2008,90,90,88,88,88,1979,1,0,0
20170101T22:58:50.922354000Z_93.185.20.184.s2c_ndttrace,0,0,b-->a,1031,2,2,0,0,0,0,0,1,1

